trainCode,stationCode,expectedArrivalTime,actualArrivalTime,expectedDepartureTime,actualDepartureTime
11058,KNW,14:23 24-Feb,16:16 24-Feb,14:25 24-Feb,16:20 24-Feb
11058,NPNR,14:58 24-Feb,16:57 24-Feb,15:00 24-Feb,16:58 24-Feb
11058,BAU,15:23 24-Feb,17:21 24-Feb,15:25 24-Feb,17:22 24-Feb
11058,RV,15:41 24-Feb,17:40 24-Feb,15:43 24-Feb,17:42 24-Feb
11058,SAV,15:59 24-Feb,17:56 24-Feb,16:00 24-Feb,17:57 24-Feb
11058,BSL,16:35 24-Feb,18:23 24-Feb,16:40 24-Feb,18:39 24-Feb
11058,JL,17:08 24-Feb,19:11 24-Feb,17:10 24-Feb,19:18 24-Feb
11058,PC,17:42 24-Feb,19:56 24-Feb,17:44 24-Feb,19:58 24-Feb
11058,CSN,18:18 24-Feb,20:34 24-Feb,18:20 24-Feb,20:36 24-Feb
11058,MMR,19:18 24-Feb,21:22 24-Feb,19:20 24-Feb,21:31 24-Feb
11058,NK,20:17 24-Feb,22:19 24-Feb,20:20 24-Feb,22:23 24-Feb
11058,KYN,22:47 24-Feb,01:05 25-Feb,22:50 24-Feb,**UA**
11058,TNA,23:12 24-Feb,**UA**,23:15 24-Feb,**UA**
11058,DR,23:37 24-Feb,**UA**,23:40 24-Feb,**UA**
11058,CSMT,00:05 25-Feb,01:50 25-Feb,DSTN,DSTN
11058,ASR,SRC,SRC,08:50 24-Feb,08:51 24-Feb
11058,JNL,09:04 24-Feb,09:13 24-Feb,09:06 24-Feb,09:14 24-Feb
11058,BEAS,09:23 24-Feb,09:40 24-Feb,09:25 24-Feb,09:42 24-Feb
11058,KRE,09:42 24-Feb,09:59 24-Feb,09:44 24-Feb,10:00 24-Feb
11058,JUC,10:08 24-Feb,10:22 24-Feb,10:15 24-Feb,10:29 24-Feb
11058,JRC,10:24 24-Feb,10:40 24-Feb,10:26 24-Feb,10:42 24-Feb
11058,PGW,10:38 24-Feb,10:55 24-Feb,10:40 24-Feb,10:58 24-Feb
11058,PHR,10:58 24-Feb,11:14 24-Feb,11:00 24-Feb,11:16 24-Feb
11058,LDH,11:30 24-Feb,11:38 24-Feb,11:45 24-Feb,11:52 24-Feb
11058,AHH,12:21 24-Feb,12:32 24-Feb,12:23 24-Feb,12:35 24-Feb
11058,MET,12:40 24-Feb,13:05 24-Feb,12:45 24-Feb,13:07 24-Feb
11058,DUI,13:25 24-Feb,13:46 24-Feb,13:45 24-Feb,13:50 24-Feb
11058,NBA,14:06 24-Feb,14:20 24-Feb,14:08 24-Feb,14:22 24-Feb
11058,PTA,14:40 24-Feb,14:49 24-Feb,14:45 24-Feb,14:53 24-Feb
11058,RPJ,15:22 24-Feb,15:24 24-Feb,15:25 24-Feb,16:10 24-Feb
11058,UBC,15:48 24-Feb,16:26 24-Feb,15:50 24-Feb,16:29 24-Feb
11058,UMB,16:10 24-Feb,16:41 24-Feb,16:23 24-Feb,16:45 24-Feb
11058,SHDM,16:37 24-Feb,17:05 24-Feb,16:39 24-Feb,17:06 24-Feb
11058,KKDE,16:55 24-Feb,17:24 24-Feb,16:57 24-Feb,17:27 24-Feb
11058,NLKR,17:10 24-Feb,17:41 24-Feb,17:12 24-Feb,17:43 24-Feb
11058,TRR,17:18 24-Feb,17:51 24-Feb,17:20 24-Feb,18:01 24-Feb
11058,KUN,17:30 24-Feb,18:15 24-Feb,17:32 24-Feb,18:18 24-Feb
11058,GRA,17:46 24-Feb,18:32 24-Feb,17:48 24-Feb,18:34 24-Feb
11058,PNP,18:01 24-Feb,18:57 24-Feb,18:03 24-Feb,18:59 24-Feb
11058,SMK,18:17 24-Feb,19:21 24-Feb,18:19 24-Feb,19:22 24-Feb
11058,GNU,18:30 24-Feb,19:34 24-Feb,18:32 24-Feb,19:36 24-Feb
11058,SNP,18:45 24-Feb,19:50 24-Feb,18:47 24-Feb,19:52 24-Feb
11058,RDDE,18:56 24-Feb,20:04 24-Feb,18:58 24-Feb,**UA**
11058,NUR,19:09 24-Feb,20:14 24-Feb,19:11 24-Feb,20:16 24-Feb
11058,ANDI,19:24 24-Feb,20:31 24-Feb,19:26 24-Feb,20:32 24-Feb
11058,SZM,19:50 24-Feb,20:44 24-Feb,19:52 24-Feb,20:53 24-Feb
11058,NDLS,20:25 24-Feb,21:15 24-Feb,20:40 24-Feb,21:31 24-Feb
